firsat_id,musteri,satis_temsilcisi,bolge,urun,kaynak,asama,tutar_try,kazanma_olasiligi_yuzde,olusturma_tarihi,acik_gun
OPP-1001,Müşteri 1,Elif Yılmaz,Marmara,Danışmanlık,Referral,Closed Won,43000,100,2025-01-27,89
OPP-1002,Müşteri 2,Deniz Aydın,Marmara,ERP Lisans,Inbound,Negotiation,31000,70,2025-02-25,32
OPP-1003,Müşteri 3,Deniz Aydın,Karadeniz,Entegrasyon,Referral,Qualification,115000,20,2025-02-26,60
OPP-1004,Müşteri 4,Deniz Aydın,İç Anadolu,Danışmanlık,Inbound,Closed Won,186000,100,2025-04-19,46
OPP-1005,Müşteri 5,Ayşe Kaya,Ege,ERP Lisans,Outbound,Proposal,31000,45,2025-04-08,15
OPP-1006,Müşteri 6,Ayşe Kaya,İç Anadolu,Bakım/Destek,Inbound,Negotiation,145000,70,2025-02-01,51
OPP-1007,Müşteri 7,Elif Yılmaz,Karadeniz,Eğitim,Web,Proposal,155000,45,2025-02-19,11
OPP-1008,Müşteri 8,Elif Yılmaz,Ege,Danışmanlık,Inbound,Closed Won,229000,100,2025-01-26,51
OPP-1009,Müşteri 9,Ayşe Kaya,Akdeniz,Danışmanlık,Outbound,Negotiation,102000,70,2025-04-01,29
OPP-1010,Müşteri 10,Ayşe Kaya,Marmara,Entegrasyon,Referral,Negotiation,194000,70,2025-03-04,23
OPP-1011,Müşteri 11,Burak Şahin,Akdeniz,Danışmanlık,Web,Proposal,183000,45,2025-03-25,10
OPP-1012,Müşteri 12,Mehmet Demir,Marmara,Eğitim,Fuar,Closed Won,24000,100,2025-02-24,75
OPP-1013,Müşteri 13,Ayşe Kaya,Ege,Bakım/Destek,Fuar,Closed Won,44000,100,2025-03-09,20
OPP-1014,Müşteri 14,Mehmet Demir,Karadeniz,Bakım/Destek,Web,Negotiation,237000,70,2025-05-30,54
OPP-1015,Müşteri 15,Ayşe Kaya,Ege,Entegrasyon,Referral,Closed Lost,134000,0,2025-01-24,9
OPP-1016,Müşteri 16,Elif Yılmaz,Ege,Entegrasyon,Fuar,Negotiation,24000,70,2025-04-09,51
